COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
GODREJCP,2021-05-03,690.0,713.15,687.6,709.0,709.05
GODREJCP,2021-05-04,710.9,713.8,695.0,699.0,697.6
GODREJCP,2021-05-05,704.35,709.0,698.25,707.2,708.1
GODREJCP,2021-05-06,714.85,720.45,700.6,713.5,709.95
GODREJCP,2021-05-07,713.4,718.3,700.05,702.9,702.1
GODREJCP,2021-05-10,700.0,711.6,698.1,711.4,709.25
GODREJCP,2021-05-11,708.85,717.85,700.0,715.0,716.2
GODREJCP,2021-05-12,775.0,892.0,773.15,870.05,872.85
GODREJCP,2021-05-12,775.0,892.0,773.15,870.05,872.85
GODREJCP,2021-05-14,860.0,883.0,846.6,850.0,851.8
GODREJCP,2021-05-17,853.0,857.2,836.65,842.5,841.45
GODREJCP,2021-05-18,845.0,846.75,810.5,816.0,816.25
GODREJCP,2021-05-19,820.0,830.95,811.0,820.0,821.65
GODREJCP,2021-05-20,821.65,828.0,811.75,816.2,815.5
GODREJCP,2021-05-21,820.7,823.65,813.8,817.85,818.45
GODREJCP,2021-05-24,817.0,825.0,803.7,809.95,808.3
GODREJCP,2021-05-25,817.0,821.5,805.0,806.5,806.75
GODREJCP,2021-05-26,810.75,827.4,802.05,826.05,824.9
GODREJCP,2021-05-27,826.1,839.2,820.0,835.2,831.35
GODREJCP,2021-05-28,838.0,852.0,835.0,846.95,844.7
GODREJCP,2021-05-31,845.0,861.9,841.6,858.6,856.55
GODREJCP,2021-06-01,859.0,865.3,845.55,849.05,849.05
GODREJCP,2021-06-02,841.1,855.75,836.45,846.8,850.6
GODREJCP,2021-06-03,852.9,865.5,850.0,864.0,864.35
GODREJCP,2021-06-04,864.8,869.75,843.35,850.0,852.55
GODREJCP,2021-06-07,855.0,858.0,847.0,849.45,849.1
GODREJCP,2021-06-08,849.1,858.9,846.7,854.55,855.65
GODREJCP,2021-06-09,850.0,865.0,842.45,854.9,853.25
GODREJCP,2021-06-10,858.0,897.4,850.65,886.0,885.75
GODREJCP,2021-06-11,891.85,906.9,886.1,899.15,899.55
GODREJCP,2021-06-14,898.95,924.75,888.05,919.2,920.65
GODREJCP,2021-06-15,920.65,937.3,916.5,936.45,933.7
GODREJCP,2021-06-16,939.0,942.35,914.4,916.15,917.3
GODREJCP,2021-06-17,910.0,917.0,900.85,907.0,908.0
GODREJCP,2021-06-18,910.0,913.45,880.0,889.4,892.95
