COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
PATINTLOG,2021-05-03,19.25,19.35,18.7,18.75,18.9
PATINTLOG,2021-05-04,18.9,19.6,18.75,18.85,18.8
PATINTLOG,2021-05-05,18.95,19.4,18.85,18.85,18.95
PATINTLOG,2021-05-06,19.0,19.15,18.3,18.7,18.7
PATINTLOG,2021-05-07,18.7,19.0,18.4,18.85,18.6
PATINTLOG,2021-05-10,18.75,19.2,18.65,18.95,18.85
PATINTLOG,2021-05-11,18.5,20.95,18.5,20.0,20.3
PATINTLOG,2021-05-12,20.95,23.7,20.5,22.75,22.6
PATINTLOG,2021-05-12,20.95,23.7,20.5,22.75,22.6
PATINTLOG,2021-05-14,23.2,24.25,22.8,23.05,23.35
PATINTLOG,2021-05-17,23.45,25.3,23.05,24.9,24.8
PATINTLOG,2021-05-18,25.7,27.85,24.3,26.55,26.7
PATINTLOG,2021-05-19,26.1,29.35,26.05,29.35,29.35
PATINTLOG,2021-05-20,29.9,32.0,28.5,30.05,30.6
PATINTLOG,2021-05-21,30.3,31.7,27.9,30.75,30.5
PATINTLOG,2021-05-24,31.45,31.7,29.9,30.6,30.5
PATINTLOG,2021-05-25,30.9,30.95,28.4,29.2,29.35
PATINTLOG,2021-05-26,29.35,30.15,28.1,28.65,28.55
PATINTLOG,2021-05-27,29.7,29.7,27.2,27.8,27.7
PATINTLOG,2021-05-28,27.8,28.25,25.15,25.45,25.7
PATINTLOG,2021-05-31,25.8,25.85,23.15,23.15,23.2
PATINTLOG,2021-06-01,22.7,23.25,22.05,22.7,22.65
PATINTLOG,2021-06-02,22.85,23.75,22.85,23.75,23.75
PATINTLOG,2021-06-03,24.0,24.9,24.0,24.9,24.9
PATINTLOG,2021-06-04,25.9,26.1,23.9,24.2,24.1
PATINTLOG,2021-06-07,25.0,25.0,24.3,24.5,24.65
PATINTLOG,2021-06-08,25.0,25.8,24.3,25.8,25.6
PATINTLOG,2021-06-09,26.1,26.85,25.5,26.2,26.0
PATINTLOG,2021-06-10,26.0,27.3,26.0,27.3,27.3
PATINTLOG,2021-06-11,27.95,28.65,27.4,28.65,28.65
PATINTLOG,2021-06-14,29.5,29.5,27.25,28.0,27.95
PATINTLOG,2021-06-15,28.3,29.15,28.0,28.1,28.1
PATINTLOG,2021-06-16,29.05,29.05,27.5,27.55,27.55
PATINTLOG,2021-06-17,26.9,27.4,26.2,26.2,26.2
PATINTLOG,2021-06-18,26.2,26.85,24.9,25.95,25.8
