COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
INDSWFTLAB,2021-05-03,81.4,83.8,80.5,81.9,82.35
INDSWFTLAB,2021-05-04,82.95,84.05,78.0,78.95,78.2
INDSWFTLAB,2021-05-05,79.2,82.65,77.45,79.5,79.45
INDSWFTLAB,2021-05-06,80.1,81.1,78.25,78.9,78.85
INDSWFTLAB,2021-05-07,79.6,80.8,78.5,79.6,79.35
INDSWFTLAB,2021-05-10,79.65,87.25,79.15,82.95,83.2
INDSWFTLAB,2021-05-11,83.2,83.7,80.6,81.3,81.45
INDSWFTLAB,2021-05-12,81.85,82.85,80.0,80.9,80.6
INDSWFTLAB,2021-05-12,81.85,82.85,80.0,80.9,80.6
INDSWFTLAB,2021-05-14,81.0,81.9,78.1,79.1,78.65
INDSWFTLAB,2021-05-17,79.35,81.0,78.0,78.5,78.25
INDSWFTLAB,2021-05-18,79.4,82.8,78.2,80.0,79.9
INDSWFTLAB,2021-05-19,81.05,83.3,79.5,82.35,82.4
INDSWFTLAB,2021-05-20,83.8,83.8,79.0,80.6,80.45
INDSWFTLAB,2021-05-21,81.3,84.9,81.0,83.4,83.3
INDSWFTLAB,2021-05-24,89.0,91.6,86.3,91.6,90.9
INDSWFTLAB,2021-05-25,92.95,92.95,87.0,88.1,87.8
INDSWFTLAB,2021-05-26,88.0,91.5,87.1,88.9,88.3
INDSWFTLAB,2021-05-27,89.0,89.6,86.8,87.4,87.45
INDSWFTLAB,2021-05-28,88.3,88.65,85.1,85.65,85.4
INDSWFTLAB,2021-05-31,85.6,86.0,82.5,83.3,82.95
INDSWFTLAB,2021-06-01,83.7,84.8,81.6,83.8,83.45
INDSWFTLAB,2021-06-02,84.2,87.0,83.3,85.6,85.55
INDSWFTLAB,2021-06-03,85.55,87.0,84.1,85.7,86.0
INDSWFTLAB,2021-06-04,86.75,87.25,83.45,86.25,86.05
INDSWFTLAB,2021-06-07,88.5,89.7,87.0,87.5,87.3
INDSWFTLAB,2021-06-08,86.7,99.9,86.7,95.0,95.1
INDSWFTLAB,2021-06-09,97.0,103.5,90.3,92.6,92.6
INDSWFTLAB,2021-06-10,93.0,107.35,93.0,103.0,102.0
INDSWFTLAB,2021-06-11,104.0,122.4,103.2,117.2,118.3
INDSWFTLAB,2021-06-14,118.0,125.6,104.0,122.0,122.2
INDSWFTLAB,2021-06-15,122.5,125.55,115.5,116.35,116.4
INDSWFTLAB,2021-06-16,116.3,122.0,111.0,116.7,117.5
INDSWFTLAB,2021-06-17,110.05,118.6,110.05,113.0,112.85
INDSWFTLAB,2021-06-18,114.05,119.0,107.0,118.1,116.95
