COMPANY_NAME,DATE1,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE
SUNDARMHLD,2021-05-03,72.45,80.55,71.35,78.55,78.5
SUNDARMHLD,2021-05-04,80.75,80.75,75.3,75.75,76.05
SUNDARMHLD,2021-05-05,76.95,80.0,75.5,75.6,76.1
SUNDARMHLD,2021-05-06,76.25,77.0,74.05,74.4,74.45
SUNDARMHLD,2021-05-07,74.75,75.5,72.05,72.6,72.6
SUNDARMHLD,2021-05-10,73.7,74.0,70.6,70.9,70.9
SUNDARMHLD,2021-05-11,70.9,71.45,68.2,69.95,69.85
SUNDARMHLD,2021-05-12,70.95,71.0,69.2,69.95,70.0
SUNDARMHLD,2021-05-12,70.95,71.0,69.2,69.95,70.0
SUNDARMHLD,2021-05-14,70.1,70.9,69.0,69.5,69.4
SUNDARMHLD,2021-05-17,69.4,70.0,68.75,68.95,69.25
SUNDARMHLD,2021-05-18,69.7,69.95,68.0,68.0,68.5
SUNDARMHLD,2021-05-19,68.0,69.95,67.55,68.95,69.1
SUNDARMHLD,2021-05-20,69.45,69.8,67.9,68.6,68.6
SUNDARMHLD,2021-05-21,69.0,73.55,68.1,71.0,70.95
SUNDARMHLD,2021-05-24,71.85,72.05,69.8,70.7,70.5
SUNDARMHLD,2021-05-25,72.55,72.85,70.0,70.8,70.7
SUNDARMHLD,2021-05-26,71.85,71.85,69.5,70.0,69.95
SUNDARMHLD,2021-05-27,70.95,71.0,69.75,70.25,70.2
SUNDARMHLD,2021-05-28,70.0,71.0,70.0,70.5,70.45
SUNDARMHLD,2021-05-31,70.9,77.5,70.65,75.9,76.2
SUNDARMHLD,2021-06-01,77.0,78.0,75.25,76.35,76.0
SUNDARMHLD,2021-06-02,76.0,76.55,73.7,75.0,75.0
SUNDARMHLD,2021-06-03,75.95,76.7,74.2,76.0,76.3
SUNDARMHLD,2021-06-04,76.3,77.9,75.0,75.5,75.75
SUNDARMHLD,2021-06-07,76.5,80.55,75.7,77.7,77.95
SUNDARMHLD,2021-06-08,78.0,81.7,78.0,80.5,79.8
SUNDARMHLD,2021-06-09,80.25,81.25,75.8,77.0,76.95
SUNDARMHLD,2021-06-10,78.0,78.0,73.25,74.75,74.7
SUNDARMHLD,2021-06-11,74.95,77.3,74.95,76.25,76.5
SUNDARMHLD,2021-06-14,75.1,75.3,72.1,74.0,73.9
SUNDARMHLD,2021-06-15,74.0,74.9,72.55,73.0,73.15
SUNDARMHLD,2021-06-16,73.35,73.8,72.8,72.95,72.95
SUNDARMHLD,2021-06-17,72.0,73.85,71.8,71.9,71.95
SUNDARMHLD,2021-06-18,73.0,73.9,70.5,72.15,71.95
